"Y","RadiationDose"
0,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
1,1.4
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
0,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
1,3.6
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
0,3.8
1,3.8
1,3.8
1,3.8
1,3.8
1,3.8
1,3.8
1,3.8
1,3.8
0,5.2
0,5.2
0,5.2
0,5.2
0,5.2
0,5.2
0,5.2
0,5.2
1,5.2
1,5.2
1,5.2
1,5.2
1,5.2
1,5.2
1,5.2
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
1,6.1
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
0,8.7
1,8.7
1,8.7
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
1,9.1
1,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
0,9.1
1,9.1
1,9.1
1,9.1
1,9.1
0,13.6
0,13.6
0,13.6
0,13.6
0,13.6
0,13.6
0,13.6
0,13.6
